"Bureau of Justice Statistics",,,,,,
"filename:  P9820.csv",,,,,,
"table #: 20",,,,,,
"report title:  Prisoners in 1998; NCJ#: 175687",,,,,,
"data sources:  National Prisoners Statistics",,,,,,
"authors:  Allen J. Beck, Ph.D. and Christopher J. Mumola",,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov or 202-307-0765",,,,,,
"date of version:  08/15/99",,,,,,
,,,,,,
"Table 20. Trends in State prison releases, release rates, and time served",,,,,,
"by first releases, 1990-97",,,,,,
,,,,,,
,,,"Time served by first releases /a",,,
,"Number","Release ",,,"Percent serving","Percent serving"
"Year","of releases","rate /b","Mean",,"6 months or less","10 years or more"
"1990 ",405374,37.0,22,"mos.",26.5,1.4
"1991 ",421687,36.5,22,,24.1,1.4
"1992 ",430198,35.5,22,,26.2,1.4
"1993 ",417838,33.3,21,,29.0,1.3
"1994 ",418372,30.8,22,,26.1,1.3
,,,,,,
"1995 ",455140,31.2,23,,21.0,1.3
"1996 ",467193,30.8,25,,18.1,1.4
"1997 ",489914,30.8,27,,16.5,1.7
"Note:  All data are limited to prisoners with a sentence of more than 1 year",,,,,,
"and exclude escapees, AWOLs, and transfers.",,,,,,
"a/Includes all inmates released for the first time on the current sentence.",,,,,,
"Time served is based on prison time only and excludes jail time credits.",,,,,,
"b/The number of releases per 100 State prisoners at the beginning of each year plus",,,,,,
"the number admitted during the year.",,,,,,
